stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,date_donnee
P7603,7603,Carrefour de Vuhé,"",46.118748,-1.077896,0,A1434,2023-10-20 04:01:38.0
P7604,7604,Cramahé,"",46.111273,-1.067484,0,A5734,2023-10-20 04:01:38.0
P7605,7605,Cramahé,"",46.111467,-1.067501,0,A5734,2023-10-20 04:01:38.0
P7606,7606,Ecoles,"",46.129515,-1.070345,0,A1436,2023-10-20 04:01:38.0
P7607,7607,Ecoles,"",46.129431,-1.070715,0,A1436,2023-10-20 04:01:38.0
P7608,7608,La Girardière,"",46.124139,-1.049845,0,A4685,2023-10-20 04:01:38.0
P7609,7609,La Girardière,"",46.124442,-1.05034,0,A4685,2023-10-20 04:01:38.0
P7610,7610,La Richarderie,"",46.117081,-1.049349,0,A7445,2023-10-20 04:01:38.0
P7611,7611,Le Givrand,"",46.130126,-1.080122,0,A1438,2023-10-20 04:01:38.0
P7612,7612,Le Givrand,"",46.130002,-1.080088,0,A1438,2023-10-20 04:01:38.0
P7613,7613,Le Moulin,"",46.126482,-1.067526,0,A1439,2023-10-20 04:01:38.0
P7614,7614,Le Moulin,"",46.126449,-1.06742,0,A1439,2023-10-20 04:01:38.0
P7615,7615,Le Moulin de Plaisance,"",46.112468,-1.051995,0,A5736,2023-10-20 04:01:38.0
P7616,7616,Pierre de Coubertin,"",46.124452,-1.072947,0,A7361,2023-10-20 04:01:38.0
P7617,7617,Pierre de Coubertin,"",46.124398,-1.072816,0,A7361,2023-10-20 04:01:38.0
P7618,7618,Place de la Liberté,"",46.127949,-1.072025,0,A5537,2023-10-20 04:01:38.0
P7619,7619,Place de la Liberté,"",46.12776,-1.071972,0,A5537,2023-10-20 04:01:38.0
P7620,7620,Pluviers Dorés,"",46.126182,-1.064308,0,A1440,2023-10-20 04:01:38.0
P7621,7621,Pluviers Dorés,"",46.12597,-1.064129,0,A1440,2023-10-20 04:01:38.0
P8000,8000,Alstom,[AlstoAy] ASpln,46.135891,-1.123216,0,A202,2023-10-20 04:01:38.0
P8001,8001,Alstom,"",46.136055,-1.125218,0,A202,2023-10-20 04:01:38.0
P8002,8002,Alstom,"",46.136052,-1.125068,0,A202,2023-10-20 04:01:38.0
P8003,8003,Alstom,[AlstoLP] Abri,46.136444,-1.124238,0,A202,2023-10-20 04:01:38.0
P8004,8004,Ancienne Gare,"",46.136465,-1.111697,0,A4801,2023-10-20 04:01:38.0
P8005,8005,Ancienne Gare,"",46.136341,-1.111857,0,A4801,2023-10-20 04:01:38.0
P8006,8006,Anville,"",46.137997,-1.111511,0,A4799,2023-10-20 04:01:38.0
P8007,8007,Anville,"",46.137926,-1.111471,0,A4799,2023-10-20 04:01:38.0
P8008,8008,Barbedette,[BarbeCh] Abri,46.132072,-1.118638,0,A6841,2023-10-20 04:01:38.0
P8009,8009,Barbedette,[BarbeGa],46.132218,-1.118564,0,A6841,2023-10-20 04:01:38.0
P8010,8010,Belle Aire,[BelAiAy] ASpln,46.131066,-1.0964,0,A4684,2023-10-20 04:01:38.0
P8011,8011,Belle Aire,[BelAiLl] Abri,46.131288,-1.098094,0,A4684,2023-10-20 04:01:38.0
P8012,8012,Bourg d'Aytré,"",46.133634,-1.113191,0,A203,2023-10-20 04:01:38.0
P8013,8013,Brassens,"",46.141425,-1.131468,0,A4806,2023-10-20 04:01:38.0
P8014,8014,Brassens,"",46.141371,-1.131495,0,A4806,2023-10-20 04:01:38.0
P8016,8016,Collège,"",46.132791,-1.124403,0,A4798,2023-10-20 04:01:38.0
P8017,8017,Collège,"",46.133021,-1.124912,0,A4798,2023-10-20 04:01:38.0
P8018,8018,Collège de l'Atlantique,"",46.131507,-1.126082,0,A205,2023-10-20 04:01:38.0
P8019,8019,Cottes Mailles,"",46.141438,-1.121091,0,A4848,2023-10-20 04:01:38.0
P8020,8020,Cottes Mailles,"",46.141585,-1.121136,0,A4848,2023-10-20 04:01:38.0
P8021,8021,Courteras,"",46.133972,-1.108271,0,A5915,2023-10-20 04:01:38.0
P8023,8023,Ecole La Courbe,"",46.14073,-1.134001,0,A4828,2023-10-20 04:01:38.0
P8024,8024,Ecole La Courbe,"",46.140876,-1.133934,0,A4828,2023-10-20 04:01:38.0
P8025,8025,Gare d'Aytré,[GaAytLP] ASpln,46.127308,-1.127705,0,A6103,2023-10-20 04:01:38.0
P8026,8026,Jaurès,[JaureAy] ASpln,46.133141,-1.11268,0,A4682,2023-10-20 04:01:38.0
P8027,8027,Jaurès,[JaureLl] ASpln,46.132766,-1.111575,0,A4682,2023-10-20 04:01:38.0
P8028,8028,Jules Ferry,[JuFerAy] ASpln,46.134111,-1.117958,0,A4680,2023-10-20 04:01:38.0
P8029,8029,Jules Ferry,[JuFerLP] Abri,46.134275,-1.118247,0,A4680,2023-10-20 04:01:38.0
P8030,8030,Les Cèdres,[CedreCh],46.129369,-1.116523,0,A206,2023-10-20 04:01:38.0
P8031,8031,Les Cèdres,[CedreGa],46.13033,-1.117071,0,A206,2023-10-20 04:01:38.0
P8032,8032,Les Embruns,[EmbruLP] Abri,46.129605,-1.122838,0,A4800,2023-10-20 04:01:38.0
P8033,8033,Les Iles,[LIlesAy] Abri,46.137983,-1.12913,0,A207,2023-10-20 04:01:38.0
P8034,8034,Les Iles,[LIlesLP] Abri,46.137716,-1.127908,0,A207,2023-10-20 04:01:38.0
P8035,8035,Les Treilles,"",46.140668,-1.114964,0,A4861,2023-10-20 04:01:38.0
P8036,8036,Les Treilles,"",46.140339,-1.115257,0,A4861,2023-10-20 04:01:38.0
P8037,8037,Les Vignes,"",46.138843,-1.114697,0,A4803,2023-10-20 04:01:38.0
P8038,8038,Les Vignes,"",46.138771,-1.114804,0,A4803,2023-10-20 04:01:38.0
P8039,8039,Malidor,[MldorAy] ASpln,46.131652,-1.105,0,A4683,2023-10-20 04:01:38.0
P8040,8040,Malidor,[MldorLl] Abri,46.131769,-1.10508,0,A4683,2023-10-20 04:01:38.0
P8041,8041,Marais Doux,[MaDouAy] ASpln,46.127336,-1.122213,0,A6842,2023-10-20 04:01:38.0
P8042,8042,Marais Doux,[MaDouLP] Abri,46.127127,-1.122402,0,A6842,2023-10-20 04:01:38.0
P8043,8043,Modigliani,[ModigAy] ASpln,46.131875,-1.108227,0,A4795,2023-10-20 04:01:38.0
P8044,8044,Modigliani,[ModigLl] Abri,46.13193,-1.107827,0,A4795,2023-10-20 04:01:38.0
P8045,8045,Place des Grands Prés,[PGPreAy] AScen,46.13275,-1.121025,0,A208,2023-10-20 04:01:38.0
P8046,8046,Place des Grands Prés,[PGPreLP] Abri,46.132569,-1.121438,0,A208,2023-10-20 04:01:38.0
P8047,8047,Place du Pourquoi Pas,"",46.13383,-1.127616,0,A4793,2023-10-20 04:01:38.0
P8048,8048,Place du Pourquoi Pas,"",46.134419,-1.127376,0,A4793,2023-10-20 04:01:38.0
P8049,8049,Renan,[RenanAy] ASpln,46.129327,-1.117844,0,A4805,2023-10-20 04:01:38.0
P8050,8050,Rue d'Yves,"",46.141211,-1.126949,0,A4884,2023-10-20 04:01:38.0
P8051,8051,Rue d'Yves,"",46.141167,-1.126696,0,A4884,2023-10-20 04:01:38.0
P8052,8052,Salengro,[SalenAy] Abri,46.140094,-1.133491,0,A4525,2023-10-20 04:01:38.0
P8053,8053,Salengro,[SalenLP] Abri,46.140325,-1.13495,0,A4525,2023-10-20 04:01:38.0
P8054,8054,Jules Ferry,"",46.133953,-1.117781,0,A4680,2023-10-20 04:01:38.0
P8055,8055,Jules Ferry,"",46.133879,-1.118108,0,A4680,2023-10-20 04:01:38.0
P8056,8056,P+R Simone Veil,[PRSVeJa],46.142985,-1.126616,0,A4763,2023-10-20 04:01:38.0
P8057,8057,P+R Simone Veil,"",46.143647,-1.127358,0,A4763,2023-10-20 04:01:38.0
P8400,8400,Blockhaus,[BlockCh],46.104633,-1.104872,0,A4545,2023-10-20 04:01:38.0
P8401,8401,Blockhaus,[BlockGa],46.104508,-1.104406,0,A4545,2023-10-20 04:01:38.0
P8402,8402,Cimetière d'Angoulins,[CimAnCh],46.10726,-1.105978,0,A55,2023-10-20 04:01:38.0
P8403,8403,Cimetière d'Angoulins,[CimAnGa],46.107322,-1.105601,0,A55,2023-10-20 04:01:38.0
P8404,8404,Gare SNCF d'Angoulins-sur-Mer,"",46.107981,-1.115071,0,A5795,2023-10-20 04:01:38.0
P8405,8405,Gare SNCF d'Angoulins-sur-Mer,"",46.10758,-1.114671,0,A5795,2023-10-20 04:01:38.0
P8406,8406,Les Russons,"",46.110261,-1.111404,0,A4541,2023-10-20 04:01:38.0
P8407,8407,Les Russons,"",46.110164,-1.111405,0,A4541,2023-10-20 04:01:38.0
P8409,8409,Les Tertres,[TertrCh],46.104117,-1.09894,0,A4544,2023-10-20 04:01:38.0
P8410,8410,Les Tertres,[TertrGa],46.103993,-1.098553,0,A4544,2023-10-20 04:01:38.0
P8412,8412,Les Veaux Verts,[VeaVeCh],46.101579,-1.108045,0,A4542,2023-10-20 04:01:38.0
P8413,8413,Les Veaux Verts,[VeaVeGa],46.101356,-1.107711,0,A4542,2023-10-20 04:01:38.0
P8414,8414,Mairie d'Angoulins,"",46.105942,-1.111205,0,A6840,2023-10-20 04:01:38.0
P8415,8415,Mairie d'Angoulins,"",46.106067,-1.111337,0,A6840,2023-10-20 04:01:38.0
P8416,8416,Maison Carrée,[MaCarCh],46.097386,-1.104311,0,A4543,2023-10-20 04:01:38.0
